Abap,Ada,C/C++,Cobol,Dart,Delphi,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,Objective-C,Perl,PHP,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic,C#
15,14,3,12,23,8,23,21,17,1,4,23,23,19,10,18,6,2,9,13,16,20,21,23,23,11,5,7
15,15,3,12,23,8,23,21,17,1,4,23,23,19,10,18,6,2,9,13,14,20,22,23,23,11,5,7
13,13,3,12,23,9,23,21,17,1,4,23,23,18,10,18,6,2,8,16,13,20,22,23,23,11,5,7
15,16,3,12,23,9,23,21,18,1,5,23,23,17,10,18,6,2,8,14,13,20,22,23,23,11,4,7
15,15,3,12,23,9,23,21,17,1,4,23,23,18,10,19,6,2,8,14,13,20,22,23,23,11,5,7
16,15,3,12,23,8,23,21,17,1,4,23,23,18,10,18,6,2,9,14,13,20,22,23,23,11,5,7
14,16,3,12,23,9,23,21,18,1,4,23,23,17,10,19,6,2,8,14,13,20,22,23,23,11,5,7
16,14,3,12,23,9,23,21,18,1,4,23,23,17,10,19,6,2,8,15,13,20,22,23,23,11,5,7
16,15,3,13,23,9,23,21,17,1,4,23,23,17,10,19,6,2,8,14,12,20,22,23,23,11,5,7
16,15,3,13,23,9,23,21,17,1,4,23,23,17,10,19,6,2,8,14,12,20,22,23,23,11,5,7
16,15,3,14,23,9,23,20,17,1,4,23,23,17,10,19,6,2,8,13,12,20,22,23,23,11,5,7
16,15,3,14,23,9,23,21,18,1,4,23,23,17,10,19,6,2,8,13,12,20,22,23,23,11,5,7
16,15,3,14,23,9,23,21,17,1,4,23,23,18,10,19,6,2,8,13,12,20,22,23,23,11,5,7
15,16,3,14,23,9,23,21,17,1,4,23,23,18,10,20,6,2,8,13,12,19,22,23,23,11,5,7
15,16,3,14,23,9,23,21,18,1,4,23,23,17,10,20,6,2,8,13,12,19,22,23,23,11,5,7
15,16,3,14,23,9,23,21,18,1,4,23,23,17,10,20,6,2,8,13,12,19,22,23,23,11,5,7
15,17,3,14,23,9,23,21,18,1,4,23,23,16,10,20,6,2,8,13,12,19,22,23,23,11,5,7
15,17,3,14,23,9,23,21,18,1,4,23,23,16,10,20,6,2,8,13,12,19,22,23,23,11,5,7
15,17,3,14,23,9,23,21,18,1,4,23,23,16,10,20,6,2,8,13,12,19,22,23,23,11,5,7
15,17,3,14,23,9,23,21,18,1,4,23,23,16,10,20,7,2,8,13,12,19,22,23,23,11,5,6
15,18,3,14,23,10,23,20,17,1,4,23,23,16,9,19,7,2,8,13,11,21,22,23,23,12,5,6
15,18,3,14,23,10,23,19,17,1,4,23,23,16,9,20,7,2,8,13,11,21,22,23,23,12,6,5
16,18,3,14,23,10,23,19,17,1,4,23,23,15,9,20,7,2,8,13,11,21,22,23,23,12,6,5
16,18,3,14,23,10,23,19,17,1,4,23,23,15,9,19,7,2,8,13,11,21,22,23,23,12,6,5
16,18,3,14,23,11,23,20,17,1,4,23,23,15,9,19,7,2,8,13,10,21,22,23,23,12,6,5
16,18,3,14,24,11,24,20,17,1,4,24,24,15,9,19,7,2,8,13,10,21,22,24,23,12,6,5
16,18,4,15,24,11,24,20,17,1,3,24,24,14,10,19,7,2,8,13,9,20,22,24,23,12,6,5
16,18,4,15,24,11,24,21,17,1,3,24,24,14,10,19,7,2,8,13,9,20,22,24,23,12,6,5
16,18,4,15,24,11,24,20,17,1,3,24,24,14,10,19,7,2,8,13,9,20,22,24,23,12,6,5
15,18,4,15,24,11,24,21,17,1,3,24,24,14,10,19,7,2,8,13,9,20,22,24,23,12,6,5
16,18,4,15,24,11,24,21,17,1,3,24,24,14,10,19,7,2,8,13,9,20,22,24,23,12,6,5
16,18,4,15,23,11,23,21,17,1,3,23,23,14,10,19,7,2,8,13,9,20,22,23,23,12,6,5
14,18,4,15,23,11,23,19,15,1,3,23,23,17,10,19,7,2,8,13,9,21,22,23,23,12,6,5
15,18,4,14,23,11,23,19,16,1,3,23,23,16,10,20,7,2,8,13,9,21,22,23,23,12,6,5
14,18,4,16,23,11,23,19,17,1,3,23,23,15,10,20,7,2,8,13,9,21,22,23,23,12,6,5
14,18,4,14,23,11,23,19,16,1,3,23,23,17,10,20,7,2,8,13,9,21,22,23,23,12,6,5
14,18,4,16,23,11,23,19,17,1,3,23,23,15,10,20,7,2,8,13,9,21,22,23,23,12,6,5
14,18,4,16,23,11,23,19,17,1,3,23,23,14,10,20,7,2,8,13,9,21,21,23,23,11,6,5
14,18,4,16,23,11,23,19,17,1,3,23,23,15,10,20,7,2,8,13,9,22,21,23,23,12,6,5
15,18,4,16,23,11,23,19,17,1,3,23,23,14,10,20,7,2,8,13,9,22,21,23,23,12,6,5
14,18,4,16,23,11,23,19,17,1,3,23,23,14,10,20,7,2,8,13,9,22,21,23,23,12,6,5
14,18,4,15,23,11,23,19,17,1,3,23,23,15,10,20,7,2,8,13,9,22,21,23,23,12,6,5
14,18,4,14,23,12,23,18,17,1,3,23,23,14,10,20,8,2,7,13,9,22,21,23,23,11,6,5
16,18,3,15,23,11,23,18,17,1,4,23,23,14,10,20,8,2,7,13,9,22,21,23,23,12,6,5
16,19,4,15,23,12,23,18,16,1,3,23,23,14,10,20,8,2,7,13,9,22,21,23,23,11,6,5
16,19,4,15,23,12,23,18,16,1,3,23,23,14,10,20,8,2,7,13,9,22,21,23,23,11,6,5
16,19,4,15,23,12,23,18,16,1,3,23,23,14,10,20,8,2,7,13,9,22,21,23,23,11,6,5
17,18,4,15,23,12,23,18,16,1,3,23,23,14,10,20,8,2,7,13,9,22,20,23,23,11,6,5
16,18,4,15,23,11,23,19,17,1,3,23,23,14,10,20,8,2,7,13,9,22,20,23,23,12,6,5
16,18,4,15,23,11,23,19,17,1,3,23,23,14,10,20,8,2,7,13,9,22,21,23,23,12,6,4
16,18,4,15,23,11,23,19,17,1,5,23,23,14,10,20,8,2,6,13,9,22,21,23,23,12,7,3
16,18,3,14,23,11,23,19,17,1,5,23,23,14,10,20,8,2,6,13,9,22,21,23,23,12,7,4
15,19,3,15,23,11,23,18,17,1,5,23,23,14,10,20,8,2,6,13,9,22,21,23,23,12,7,4
14,19,3,16,23,11,23,18,17,1,5,23,23,15,9,20,8,2,6,13,10,22,21,23,23,12,7,4
15,19,3,16,23,11,23,18,17,1,4,23,23,14,9,20,8,2,6,13,10,22,21,23,23,12,7,5
15,19,3,16,23,12,23,18,17,1,4,23,23,14,9,20,8,2,6,13,10,22,21,23,23,11,7,5
15,19,3,16,23,12,23,18,17,1,4,23,23,14,9,20,8,2,6,13,10,22,20,23,23,11,7,5
15,19,3,16,23,12,23,18,17,1,4,23,23,14,9,21,8,2,6,13,10,22,20,23,23,11,7,5
16,19,3,15,23,12,23,18,17,1,4,23,23,14,9,21,8,2,6,13,10,22,20,23,23,11,7,5
16,19,3,15,23,12,23,18,17,1,4,23,23,14,9,21,8,2,6,13,10,22,20,23,23,11,7,5
16,19,3,15,23,12,23,18,17,1,4,23,23,14,9,21,8,2,6,13,10,22,20,23,23,11,7,5
16,20,3,15,23,12,23,18,17,1,4,23,23,14,9,21,8,2,6,13,10,22,19,23,23,11,7,5
14,20,3,16,23,12,23,18,17,1,4,23,23,14,9,21,8,2,6,13,10,22,19,23,23,11,7,5
14,20,3,15,23,12,23,18,17,1,4,23,23,16,9,21,8,2,5,13,10,22,19,23,23,11,7,6
14,20,3,16,23,12,23,17,17,1,4,23,23,15,9,21,8,2,5,13,10,22,19,23,23,11,7,6
14,20,3,15,23,12,23,17,18,1,4,23,23,15,9,21,8,2,5,13,10,22,19,23,23,11,7,6
14,21,3,16,24,12,23,17,17,1,4,24,24,14,9,20,8,2,5,13,10,22,19,24,24,11,7,6
14,21,3,16,24,12,23,17,17,1,4,24,24,14,9,19,8,2,5,13,10,22,20,24,24,11,7,6
14,21,3,15,24,12,23,17,17,1,4,24,24,15,9,19,8,2,5,13,10,22,20,24,24,11,7,6
14,21,3,15,24,12,23,17,18,1,4,24,24,16,9,19,8,2,5,13,11,22,20,24,24,10,7,6
14,21,3,15,24,12,23,17,18,1,4,24,24,16,8,19,9,2,5,13,11,22,20,24,24,10,7,6
14,21,3,15,24,12,23,17,18,1,4,24,24,16,8,19,9,2,6,13,11,22,20,24,24,10,7,5
14,21,3,15,24,12,23,17,19,1,4,24,24,16,8,18,9,2,6,13,11,22,20,24,24,10,7,5
14,21,3,15,24,12,23,18,19,1,4,24,24,16,8,17,9,2,6,13,11,22,20,24,24,10,7,5
14,21,3,15,24,12,23,18,19,1,4,24,24,16,8,16,9,2,6,13,11,22,20,24,24,10,7,5
14,21,3,16,24,12,23,18,19,1,4,24,24,17,8,14,9,2,6,12,11,22,20,24,24,10,7,5
15,21,3,16,24,13,23,18,19,1,4,24,24,17,8,14,9,2,6,12,11,22,20,24,24,10,7,5
15,21,3,16,24,13,23,18,19,1,4,24,24,17,8,14,9,2,6,12,10,22,20,24,24,11,7,5
15,21,3,16,24,13,23,19,18,1,4,24,24,17,8,14,9,2,5,12,10,22,20,24,24,11,7,6
15,21,3,16,24,14,23,19,18,1,4,25,25,17,8,13,9,2,5,12,10,22,20,25,25,11,7,6
15,21,3,16,23,14,23,18,18,1,4,25,25,17,8,12,9,2,5,13,10,22,20,25,25,11,7,6
15,21,3,16,23,14,24,18,18,1,4,25,25,17,8,12,9,2,5,13,10,22,20,25,25,11,7,6
15,21,3,16,23,14,24,18,19,1,4,25,25,17,8,12,10,2,5,13,9,22,19,25,25,11,7,6
15,21,3,17,22,14,24,18,20,1,4,25,25,16,8,12,10,2,5,13,9,23,19,25,25,11,7,6
15,21,3,17,22,14,24,18,20,1,4,25,25,16,8,11,10,2,5,13,9,23,19,25,25,12,7,6
15,21,3,17,22,14,24,18,20,1,4,25,25,16,8,11,10,2,5,13,9,23,19,25,25,12,7,6
15,21,3,17,22,14,24,18,20,1,4,25,25,16,8,11,10,2,5,13,9,23,19,25,25,12,7,6
15,20,3,17,22,14,24,18,21,1,5,25,25,16,8,11,10,2,4,13,9,23,19,25,25,12,7,6
15,21,3,17,22,14,24,18,20,1,5,25,25,16,8,9,11,2,4,13,10,23,18,25,25,12,7,6
15,21,3,17,22,14,24,18,20,1,5,25,25,16,9,8,11,2,4,13,10,23,19,25,25,12,7,6
15,21,3,17,22,14,24,18,20,1,5,25,25,16,9,8,11,2,4,13,10,23,18,25,25,12,7,6
15,21,3,17,22,14,24,18,20,1,5,25,26,16,9,8,11,2,4,13,10,23,19,26,26,12,7,6
15,21,3,17,22,14,24,18,20,1,6,24,26,16,9,8,12,2,4,13,10,23,18,26,26,11,7,5
15,21,3,17,22,14,25,19,20,1,6,24,26,16,9,7,12,2,4,13,10,23,18,26,26,11,8,5
15,21,3,17,22,14,25,18,20,1,6,23,26,16,9,7,12,2,5,13,10,24,19,26,26,11,8,4
15,21,3,17,22,14,25,18,20,1,6,23,26,16,9,7,12,2,5,13,10,24,19,26,26,11,8,4
15,21,3,17,22,14,25,17,20,1,6,22,26,16,9,7,12,2,5,13,10,24,19,26,26,11,8,4
15,21,4,19,23,14,25,17,20,1,6,22,26,16,9,7,12,2,5,13,10,24,18,26,26,11,8,3
15,21,4,19,23,14,25,17,20,1,6,22,26,15,9,7,12,2,5,13,10,24,18,27,27,11,8,3
15,21,4,19,23,14,24,17,20,1,6,22,26,15,9,7,11,2,5,13,10,24,18,27,27,12,8,3
15,21,4,19,23,14,25,18,20,1,6,22,27,16,9,7,12,2,5,13,10,24,17,28,26,11,8,3
15,21,4,19,23,14,25,18,20,1,6,22,27,16,9,7,11,2,5,13,10,24,17,28,26,12,8,3
16,21,4,19,23,14,25,18,20,1,6,22,27,15,9,7,11,2,5,13,10,24,17,28,26,12,8,3
16,21,5,19,23,14,25,18,20,1,6,22,27,15,9,7,11,2,4,12,10,24,17,28,26,13,8,3
16,21,5,19,22,14,25,18,20,1,6,22,27,15,9,7,11,2,4,12,10,24,17,28,25,13,8,3
16,21,5,19,23,14,24,18,20,1,6,22,27,15,9,7,12,2,4,11,10,24,17,28,24,13,8,3
16,21,5,19,22,14,24,18,20,1,6,22,27,15,9,7,12,2,4,11,10,25,17,27,25,13,8,3
16,21,5,19,22,14,24,18,20,1,6,23,27,15,9,7,12,2,4,11,10,26,17,27,25,13,8,3
16,21,5,19,22,14,24,18,20,1,6,23,27,15,9,7,12,2,4,11,10,25,17,27,25,13,8,3
16,21,5,19,23,14,24,18,20,1,6,22,27,15,8,7,12,2,4,11,10,26,17,27,25,13,9,3
16,21,5,19,23,14,24,18,20,1,6,22,27,15,8,7,12,2,4,11,10,26,17,28,25,13,9,3
16,21,5,19,23,14,23,18,20,1,6,22,27,15,9,7,12,2,4,11,10,26,17,27,25,13,8,3
16,21,5,19,24,14,23,18,20,1,6,22,27,15,9,7,12,2,3,11,10,26,17,27,25,13,8,4
15,21,5,19,23,14,23,18,20,1,6,22,27,17,9,7,12,2,3,11,10,26,15,27,25,13,8,4
16,21,5,19,23,14,24,18,20,1,6,22,27,17,8,7,12,2,3,11,10,25,15,27,26,13,9,4
17,21,5,19,24,14,25,18,19,1,6,23,28,16,8,7,13,2,3,11,10,22,14,27,26,12,9,4
17,21,5,20,24,14,25,18,19,1,6,23,28,16,8,7,13,2,3,11,10,22,15,26,27,12,9,4
16,21,5,20,23,14,26,18,19,1,6,23,28,17,8,7,13,2,3,11,10,22,15,23,27,12,9,4
17,21,5,20,24,14,26,18,19,1,6,25,28,16,8,7,13,2,3,11,10,22,15,23,27,12,9,4
17,23,5,19,24,14,26,18,20,1,6,25,28,15,8,7,13,2,3,11,10,21,15,21,27,12,9,4
17,22,5,20,24,15,26,19,20,1,6,24,28,17,8,7,13,2,3,11,10,23,16,14,27,12,9,4
17,22,5,20,25,16,25,19,21,1,6,24,28,18,8,7,13,2,3,11,9,23,15,14,27,12,10,4
16,22,5,20,26,16,24,19,21,1,6,25,28,18,8,7,14,2,3,11,9,23,15,13,27,12,10,4
17,22,5,20,26,16,24,19,21,1,6,25,28,18,8,7,14,2,3,11,9,23,15,13,27,12,10,4
17,21,5,20,26,16,23,19,21,1,6,24,28,18,8,7,14,2,3,10,9,24,15,12,27,13,11,4
17,20,5,20,26,16,23,19,20,1,6,25,28,18,8,7,14,2,3,10,9,24,15,12,27,13,11,4
17,20,5,20,26,16,23,19,20,1,6,24,28,18,8,7,14,2,3,9,10,24,15,11,27,13,11,4
17,20,5,22,26,16,23,19,21,1,6,25,28,18,8,7,14,2,3,9,10,24,15,11,27,13,12,4
17,20,5,22,26,16,23,19,20,1,6,25,28,18,8,7,14,2,3,9,11,24,15,10,27,13,12,4
16,20,5,22,26,17,23,19,20,1,6,24,28,18,8,7,14,2,3,9,11,24,15,10,26,13,12,4
16,20,5,22,27,17,23,19,20,1,6,25,28,18,8,7,14,2,3,9,11,24,15,10,26,13,12,4
16,21,5,22,27,17,23,19,20,1,6,25,28,18,8,7,14,2,3,9,11,24,15,10,26,13,12,4
